ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,strata_one_code,strata_one_name,strata_two_code,strata_two_name,numerator,denominator,estimate,ll_95ci,ul_95ci,se,rse,ca_decile,ca_rr,version
75,Modified retail food environment index,2017,9,Total,CT,6001405902,4059.02,Alameda,6001,Bay Area,1,,,,,14,38,36.84210526,21.50475573,52.1794548,7.825178333,21.23976976,,2.0595626,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001406000,4060,Alameda,6001,Bay Area,1,,,,,22,90,24.44444444,15.56556613,33.32332276,4.530039956,18.53198164,,1.366503439,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001406100,4061,Alameda,6001,Bay Area,1,,,,,19,80,23.75,14.42470007,33.07529993,4.757806086,20.03286773,,1.327682319,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001406201,4062.01,Alameda,6001,Bay Area,1,,,,,9,37,24.32432432,10.49968672,38.14896193,7.053386533,28.99725575,,1.359788435,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001406202,4062.02,Alameda,6001,Bay Area,1,,,,,13,42,30.95238095,16.97091173,44.93385017,7.133402662,23.04637783,,1.730312797,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001406300,4063,Alameda,6001,Bay Area,1,,,,,11,32,34.375,17.91851441,50.83148559,8.396166117,24.42521052,,1.921645462,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001406400,4064,Alameda,6001,Bay Area,1,,,,,10,24,41.66666667,21.94229276,61.39104057,10.06345607,24.15229458,,2.329267226,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001406500,4065,Alameda,6001,Bay Area,1,,,,,16,44,36.36363636,22.14964446,50.57762826,7.252036684,19.94310088,,2.032815034,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001406601,4066.01,Alameda,6001,Bay Area,1,,,,,12,36,33.33333333,17.93411899,48.73254768,7.856742013,23.57022604,,1.863413781,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001406602,4066.02,Alameda,6001,Bay Area,1,,,,,9,23,39.13043478,19.18472067,59.0761489,10.17638475,26.00631659,,2.187485743,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001406700,4067,Alameda,6001,Bay Area,1,,,,,7,26,26.92307692,9.873175598,43.97297825,8.698929247,32.31030863,,1.505064977,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001406800,4068,Alameda,6001,Bay Area,1,,,,,7,27,25.92592593,9.395865431,42.45598642,8.433704334,32.53000243,,1.44932183,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001406900,4069,Alameda,6001,Bay Area,1,,,,,5,24,20.83333333,4.585292141,37.08137453,8.289816935,39.79112129,,1.164633613,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001407000,4070,Alameda,6001,Bay Area,1,,,,,10,27,37.03703704,18.82179754,55.25227653,9.29348954,25.09242176,,2.070459757,11/15/2017
